Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power,Temp_diff,Tool_Torque
3,299.4,308.9,1440,42.5,87,0,0,0,0,0,0,61200.0,9.5,3697.5
3,299.3,308.8,1772,25.2,89,0,0,0,0,0,0,44654.4,9.5,2242.7999999999997
3,299.2,308.7,1492,37.8,91,0,0,0,0,0,0,56397.6,9.5,3439.7999999999997
3,299.2,308.7,1650,30.5,93,0,0,0,0,0,0,50325.0,9.5,2836.5
2,299.1,308.6,2329,14.6,95,0,0,0,0,0,0,34003.4,9.5,1387.0
3,299.0,308.6,1648,30.8,98,0,0,0,0,0,0,50758.4,9.600000000000023,3018.4
3,299.0,308.6,1653,31.7,100,0,0,0,0,0,0,52400.1,9.600000000000023,3170.0
3,299.0,308.6,1946,22.3,102,0,0,0,0,0,0,43395.8,9.600000000000023,2274.6
3,299.1,308.6,1555,36.6,104,0,0,0,0,0,0,56913.0,9.5,3806.4
3,299.0,308.6,1661,32.2,106,0,0,0,0,0,0,53484.200000000004,9.600000000000023,3413.2000000000003
3,299.0,308.6,1434,45.9,108,0,0,0,0,0,0,65820.59999999999,9.600000000000023,4957.2
3,299.0,308.6,1297,54.2,110,0,0,0,0,0,0,70297.40000000001,9.600000000000023,5962.0
3,299.0,308.6,1466,46.4,112,0,0,0,0,0,0,68022.4,9.600000000000023,5196.8
2,298.9,308.6,1517,39.8,114,0,0,0,0,0,0,60376.6,9.700000000000045,4537.2
3,298.9,308.5,1742,34.5,117,0,0,0,0,0,0,60099.0,9.600000000000023,4036.5
3,298.9,308.5,1580,39.1,119,0,0,0,0,0,0,61778.0,9.600000000000023,4652.900000000001
2,298.9,308.5,1534,42.9,121,0,0,0,0,0,0,65808.59999999999,9.600000000000023,5190.9
3,298.9,308.6,1481,40.7,124,0,0,0,0,0,0,60276.700000000004,9.700000000000045,5046.8
3,299.0,308.6,1429,37.7,126,0,0,0,0,0,0,53873.3,9.600000000000023,4750.200000000001
2,298.9,308.6,1574,33.5,128,0,0,0,0,0,0,52729.0,9.700000000000045,4288.0
2,298.9,308.6,1524,40.4,131,0,0,0,0,0,0,61569.6,9.700000000000045,5292.4
3,299.0,308.7,1507,37.5,134,0,0,0,0,0,0,56512.5,9.699999999999989,5025.0
3,298.9,308.5,1467,44.7,136,0,0,0,0,0,0,65574.90000000001,9.600000000000023,6079.200000000001
3,298.9,308.4,1301,51.1,138,0,0,0,0,0,0,66481.1,9.5,7051.8
3,298.9,308.5,1429,55.1,140,0,0,0,0,0,0,78737.90000000001,9.600000000000023,7714.0
2,298.9,308.5,1555,37.6,142,0,0,0,0,0,0,58468.0,9.600000000000023,5339.2
3,298.9,308.5,1503,40.6,145,0,0,0,0,0,0,61021.8,9.600000000000023,5887.0
3,298.9,308.5,1459,43.1,147,0,0,0,0,0,0,62882.9,9.600000000000023,6335.7
1,298.9,308.4,1449,42.4,149,0,0,0,0,0,0,61437.6,9.5,6317.599999999999
3,298.9,308.5,1387,57.3,154,0,0,0,0,0,0,79475.09999999999,9.600000000000023,8824.199999999999
2,298.9,308.5,1456,50.0,156,0,0,0,0,0,0,72800.0,9.600000000000023,7800.0
3,299.0,308.5,1604,34.7,159,0,0,0,0,0,0,55658.8,9.5,5517.3
3,299.0,308.6,1734,32.4,161,0,0,0,0,0,0,56181.6,9.600000000000023,5216.4
3,299.0,308.6,1378,47.8,163,0,0,0,0,0,0,65868.4,9.600000000000023,7791.4
3,298.9,308.7,1504,41.8,165,0,0,0,0,0,0,62867.2,9.800000000000011,6896.999999999999
2,298.9,308.7,1402,49.8,167,0,0,0,0,0,0,69819.59999999999,9.800000000000011,8316.6
1,298.8,308.6,1524,37.7,170,0,0,0,0,0,0,57454.8,9.800000000000011,6409.000000000001
3,298.8,308.6,1593,35.5,175,0,0,0,0,0,0,56551.5,9.800000000000011,6212.5
2,298.9,308.7,1772,28.4,177,0,0,0,0,0,0,50324.799999999996,9.800000000000011,5026.8
1,298.9,308.6,1623,31.0,180,0,0,0,0,0,0,50313.0,9.700000000000045,5580.0
3,298.9,308.7,1356,50.7,185,0,0,0,0,0,0,68749.2,9.800000000000011,9379.5
1,298.9,308.7,1500,41.6,187,0,0,0,0,0,0,62400.0,9.800000000000011,7779.2
1,299.1,308.8,1566,46.6,192,0,0,0,0,0,0,72975.6,9.699999999999989,8947.2
3,299.1,308.9,1445,43.4,197,0,0,0,0,0,0,62713.0,9.799999999999955,8549.8
1,299.0,308.8,1382,58.5,199,0,0,0,0,0,0,80847.0,9.800000000000011,11641.5
2,299.0,308.8,1418,45.7,204,0,0,0,0,0,0,64802.600000000006,9.800000000000011,9322.800000000001
3,299.1,308.8,1329,53.6,207,1,0,0,0,1,0,71234.40000000001,9.699999999999989,11095.2
2,299.1,308.8,1491,41.0,209,0,0,0,0,0,0,61131.0,9.699999999999989,8569.0
2,299.2,308.9,1573,37.4,212,0,0,0,0,0,0,58830.2,9.699999999999989,7928.799999999999
2,299.2,308.9,1521,42.3,215,0,0,0,0,0,0,64338.299999999996,9.699999999999989,9094.5
3,299.1,308.9,1467,47.2,218,0,0,0,0,0,0,69242.40000000001,9.799999999999955,10289.6
2,299.1,308.9,1325,48.4,220,0,0,0,0,0,0,64130.0,9.799999999999955,10648.0
3,299.1,308.9,1617,32.3,223,0,0,0,0,0,0,52229.1,9.799999999999955,7202.9
2,299.1,308.9,1476,42.7,225,0,0,0,0,0,0,63025.200000000004,9.799999999999955,9607.5
3,299.2,309.0,1515,48.9,228,1,0,0,0,1,0,74083.5,9.800000000000011,11149.199999999999
3,299.2,309.0,1408,47.2,0,0,0,0,0,0,0,66457.6,9.800000000000011,0.0
3,299.2,309.1,1468,45.6,2,0,0,0,0,0,0,66940.8,9.900000000000034,91.2
3,299.2,309.1,1387,48.7,4,0,0,0,0,0,0,67546.90000000001,9.900000000000034,194.8
2,299.2,309.1,1503,34.7,6,0,0,0,0,0,0,52154.100000000006,9.900000000000034,208.20000000000002
1,299.2,309.1,1410,47.1,9,0,0,0,0,0,0,66411.0,9.900000000000034,423.90000000000003
3,299.0,308.9,1615,30.6,14,0,0,0,0,0,0,49419.0,9.899999999999977,428.40000000000003
3,299.0,308.9,1511,35.9,16,0,0,0,0,0,0,54244.9,9.899999999999977,574.4
3,299.1,309.0,1405,53.8,18,0,0,0,0,0,0,75589.0,9.899999999999977,968.4
2,299.0,308.9,1526,41.1,20,0,0,0,0,0,0,62718.6,9.899999999999977,822.0
3,298.9,308.8,1530,38.3,23,0,0,0,0,0,0,58598.99999999999,9.900000000000034,880.9
3,299.0,308.7,1583,32.5,25,0,0,0,0,0,0,51447.5,9.699999999999989,812.5
3,298.9,308.6,2069,18.7,27,0,0,0,0,0,0,38690.299999999996,9.700000000000045,504.9
3,298.8,308.5,1490,35.0,29,0,0,0,0,0,0,52150.0,9.699999999999989,1015.0
3,298.8,308.5,1736,29.0,31,0,0,0,0,0,0,50344.0,9.699999999999989,899.0
3,298.8,308.5,1395,44.4,33,0,0,0,0,0,0,61938.0,9.699999999999989,1465.2
2,298.9,308.6,1425,49.6,35,0,0,0,0,0,0,70680.0,9.700000000000045,1736.0
3,298.8,308.6,1631,32.4,38,0,0,0,0,0,0,52844.399999999994,9.800000000000011,1231.2
3,298.8,308.6,1535,41.2,40,0,0,0,0,0,0,63242.00000000001,9.800000000000011,1648.0
3,298.8,308.6,1584,34.4,42,0,0,0,0,0,0,54489.6,9.800000000000011,1444.8
2,298.8,308.7,1543,38.2,44,0,0,0,0,0,0,58942.600000000006,9.899999999999977,1680.8000000000002
3,298.8,308.7,1635,35.2,47,0,0,0,0,0,0,57552.00000000001,9.899999999999977,1654.4
2,298.8,308.7,1446,45.5,49,0,0,0,0,0,0,65793.0,9.899999999999977,2229.5
2,298.8,308.6,1598,35.1,52,0,0,0,0,0,0,56089.8,9.800000000000011,1825.2
3,298.8,308.6,1501,35.0,55,0,0,0,0,0,0,52535.0,9.800000000000011,1925.0
3,298.8,308.5,1450,50.8,57,0,0,0,0,0,0,73660.0,9.699999999999989,2895.6
3,298.8,308.6,1730,25.9,59,0,0,0,0,0,0,44807.0,9.800000000000011,1528.1
2,298.8,308.6,1571,33.7,61,0,0,0,0,0,0,52942.700000000004,9.800000000000011,2055.7000000000003
3,298.9,308.7,1438,51.7,64,0,0,0,0,0,0,74344.6,9.800000000000011,3308.8
2,298.8,308.5,1510,38.7,66,0,0,0,0,0,0,58437.00000000001,9.699999999999989,2554.2000000000003
3,298.9,308.7,1389,44.9,69,0,0,0,0,0,0,62366.1,9.800000000000011,3098.1
3,298.8,308.7,1490,33.6,71,0,0,0,0,0,0,50064.0,9.899999999999977,2385.6
3,298.9,308.7,1729,26.6,73,0,0,0,0,0,0,45991.4,9.800000000000011,1941.8000000000002
3,299.0,308.8,1495,38.4,75,0,0,0,0,0,0,57408.0,9.800000000000011,2880.0
3,298.9,308.8,1281,53.9,77,0,0,0,0,0,0,69045.9,9.900000000000034,4150.3
1,298.9,308.7,1353,48.1,79,0,0,0,0,0,0,65079.3,9.800000000000011,3799.9
3,299.1,308.8,1429,50.1,84,0,0,0,0,0,0,71592.90000000001,9.699999999999989,4208.400000000001
3,299.1,308.8,1413,42.1,86,0,0,0,0,0,0,59487.3,9.699999999999989,3620.6
3,299.1,308.8,1502,38.3,88,0,0,0,0,0,0,57526.6,9.699999999999989,3370.3999999999996
1,299.1,308.8,1553,32.6,90,0,0,0,0,0,0,50627.8,9.699999999999989,2934.0
1,299.2,308.9,1712,26.4,95,0,0,0,0,0,0,45196.799999999996,9.699999999999989,2508.0
3,299.3,309.0,1786,23.5,100,0,0,0,0,0,0,41971.0,9.699999999999989,2350.0
3,299.2,309.0,1951,21.4,102,0,0,0,0,0,0,41751.399999999994,9.800000000000011,2182.7999999999997
2,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,55938.299999999996,9.800000000000011,3775.2
3,299.2,309.1,1605,34.3,107,0,0,0,0,0,0,55051.49999999999,9.900000000000034,3670.1
3,299.2,309.1,1578,38.1,109,0,0,0,0,0,0,60121.8,9.900000000000034,4152.900000000001
2,299.3,309.2,1440,37.5,111,0,0,0,0,0,0,54000.0,9.899999999999977,4162.5
3,299.4,309.2,1489,42.3,114,0,0,0,0,0,0,62984.7,9.800000000000011,4822.2
3,299.4,309.3,1366,48.4,116,0,0,0,0,0,0,66114.4,9.900000000000034,5614.4
3,299.3,309.2,1541,37.2,118,0,0,0,0,0,0,57325.200000000004,9.899999999999977,4389.6
1,299.3,309.1,1552,40.7,120,0,0,0,0,0,0,63166.4,9.800000000000011,4884.0
3,299.3,309.1,1473,40.3,125,0,0,0,0,0,0,59361.899999999994,9.800000000000011,5037.5
3,299.3,309.1,1531,37.9,127,0,0,0,0,0,0,58024.9,9.800000000000011,4813.3
3,299.3,309.2,1511,37.2,129,0,0,0,0,0,0,56209.200000000004,9.899999999999977,4798.8
2,299.3,309.1,1449,47.9,131,0,0,0,0,0,0,69407.09999999999,9.800000000000011,6274.9
2,299.4,309.1,1440,50.0,134,0,0,0,0,0,0,72000.0,9.700000000000045,6700.0
2,299.2,309.0,1881,23.9,137,0,0,0,0,0,0,44955.899999999994,9.800000000000011,3274.2999999999997
3,299.3,309.0,1447,50.4,140,0,0,0,0,0,1,72928.8,9.699999999999989,7056.0
2,299.4,309.1,1326,62.0,142,0,0,0,0,0,0,82212.0,9.700000000000045,8804.0
3,299.4,309.2,1607,31.7,145,0,0,0,0,0,0,50941.9,9.800000000000011,4596.5
3,299.3,309.1,1551,39.1,147,0,0,0,0,0,0,60644.100000000006,9.800000000000011,5747.7
3,299.3,309.1,1496,37.2,149,0,0,0,0,0,0,55651.200000000004,9.800000000000011,5542.8
3,299.3,309.1,1493,38.0,151,0,0,0,0,0,0,56734.0,9.800000000000011,5738.0
3,299.4,309.1,1304,50.5,153,0,0,0,0,0,0,65852.0,9.700000000000045,7726.5
2,299.3,309.0,1420,41.6,155,0,0,0,0,0,0,59072.0,9.699999999999989,6448.0
3,299.4,309.1,1766,24.6,158,0,0,0,0,0,0,43443.600000000006,9.700000000000045,3886.8
3,299.6,309.2,1450,43.1,160,0,0,0,0,0,0,62495.0,9.599999999999966,6896.0
1,299.5,309.2,1872,22.6,162,0,0,0,0,0,0,42307.200000000004,9.699999999999989,3661.2000000000003
3,299.6,309.2,1713,26.5,167,0,0,0,0,0,0,45394.5,9.599999999999966,4425.5
2,299.5,309.2,1497,40.9,169,0,0,0,0,0,0,61227.299999999996,9.699999999999989,6912.099999999999
2,299.4,309.1,1352,44.7,172,0,0,0,0,0,0,60434.4,9.700000000000045,7688.400000000001
3,299.5,309.2,1499,41.5,175,0,0,0,0,0,0,62208.5,9.699999999999989,7262.5
3,299.5,309.3,1972,19.3,177,0,0,0,0,0,0,38059.6,9.800000000000011,3416.1
3,299.5,309.3,1422,49.2,179,0,0,0,0,0,0,69962.40000000001,9.800000000000011,8806.800000000001
3,299.5,309.3,1523,41.5,181,0,0,0,0,0,0,63204.5,9.800000000000011,7511.5
3,299.5,309.4,1563,41.5,183,0,0,0,0,0,0,64864.5,9.899999999999977,7594.5
3,299.4,309.3,1391,46.6,185,0,0,0,0,0,0,64820.6,9.900000000000034,8621.0
3,299.3,309.1,1795,24.7,187,0,0,0,0,0,0,44336.5,9.800000000000011,4618.9
3,299.3,309.1,1293,53.7,189,0,0,0,0,0,0,69434.1,9.800000000000011,10149.300000000001
3,299.2,309.1,1345,60.7,191,1,0,0,0,1,0,81641.5,9.900000000000034,11593.7
3,299.2,309.0,1615,33.7,193,0,0,0,0,0,0,54425.50000000001,9.800000000000011,6504.1
3,299.2,308.9,1342,50.8,195,0,0,0,0,0,0,68173.59999999999,9.699999999999989,9906.0
3,299.1,308.8,1502,46.7,197,0,0,0,0,0,0,70143.40000000001,9.699999999999989,9199.900000000001
2,299.0,308.7,1620,35.4,199,0,0,0,0,0,0,57348.0,9.699999999999989,7044.599999999999
3,299.0,308.7,1537,42.8,202,0,0,0,0,0,0,65783.59999999999,9.699999999999989,8645.599999999999
3,299.0,308.7,2248,16.8,204,0,0,0,0,0,0,37766.4,9.699999999999989,3427.2000000000003
3,299.0,308.7,1706,28.6,206,0,0,0,0,0,0,48791.600000000006,9.699999999999989,5891.6
3,299.0,308.7,2250,16.6,208,0,0,0,0,0,0,37350.0,9.699999999999989,3452.8
3,299.0,308.7,1396,48.6,0,0,0,0,0,0,0,67845.6,9.699999999999989,0.0
3,298.9,308.6,1522,46.4,2,0,0,0,0,0,0,70620.8,9.700000000000045,92.8
3,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,69870.59999999999,9.700000000000045,181.6
1,298.9,308.5,1415,54.0,6,0,0,0,0,0,0,76410.0,9.600000000000023,324.0
3,298.8,308.5,1446,37.0,11,0,0,0,0,0,0,53502.0,9.699999999999989,407.0
2,298.8,308.6,1486,41.1,13,0,0,0,0,0,0,61074.6,9.800000000000011,534.3000000000001
3,299.0,308.7,1426,38.6,16,0,0,0,0,0,0,55043.6,9.699999999999989,617.6
3,299.0,308.7,1449,38.9,18,0,0,0,0,0,0,56366.1,9.699999999999989,700.1999999999999
3,299.1,308.8,1320,67.5,20,1,0,0,1,0,0,89100.0,9.699999999999989,1350.0
2,299.2,308.9,1447,39.6,22,0,0,0,0,0,0,57301.200000000004,9.699999999999989,871.2
3,299.3,309.0,1422,47.3,25,0,0,0,0,0,0,67260.59999999999,9.699999999999989,1182.5
3,299.3,309.1,1399,52.1,27,0,0,0,0,0,0,72887.90000000001,9.800000000000011,1406.7
3,299.4,309.2,1427,41.5,29,0,0,0,0,0,0,59220.5,9.800000000000011,1203.5
2,299.3,309.2,1334,46.3,31,0,0,0,0,0,0,61764.2,9.899999999999977,1435.3
2,299.3,309.1,1385,45.6,34,0,0,0,0,0,0,63156.0,9.800000000000011,1550.4
3,299.4,309.2,1552,37.4,37,0,0,0,0,0,0,58044.799999999996,9.800000000000011,1383.8
1,299.4,309.3,1534,37.5,39,0,0,0,0,0,0,57525.0,9.900000000000034,1462.5
3,299.4,309.3,1448,48.6,44,0,0,0,0,0,0,70372.8,9.900000000000034,2138.4
3,299.5,309.3,1409,44.7,46,0,0,0,0,0,0,62982.3,9.800000000000011,2056.2000000000003
3,299.4,309.2,1621,34.5,48,0,0,0,0,0,0,55924.5,9.800000000000011,1656.0
1,299.4,309.1,1547,40.9,50,0,0,0,0,0,0,63272.299999999996,9.700000000000045,2045.0
3,299.4,309.1,1957,22.1,55,0,0,0,0,0,0,43249.700000000004,9.700000000000045,1215.5
3,299.4,309.1,2421,14.2,57,0,0,0,0,0,0,34378.2,9.700000000000045,809.4
2,299.3,309.1,1571,38.3,59,0,0,0,0,0,0,60169.299999999996,9.800000000000011,2259.7
3,299.3,309.1,1634,36.8,62,0,0,0,0,0,0,60131.2,9.800000000000011,2281.6
3,299.3,309.0,1516,38.7,64,0,0,0,0,0,0,58669.200000000004,9.699999999999989,2476.8
3,299.4,309.1,1207,66.5,66,0,0,0,0,0,0,80265.5,9.700000000000045,4389.0
3,299.4,309.1,1670,35.9,68,0,0,0,0,0,0,59953.0,9.700000000000045,2441.2
2,299.4,309.1,1461,48.6,70,0,0,0,0,0,0,71004.6,9.700000000000045,3402.0
3,299.4,309.2,1569,40.8,73,0,0,0,0,0,0,64015.2,9.800000000000011,2978.3999999999996
3,299.4,309.2,1556,35.7,75,0,0,0,0,0,0,55549.200000000004,9.800000000000011,2677.5
2,299.5,309.3,1506,41.5,77,0,0,0,0,0,0,62499.0,9.800000000000011,3195.5
2,299.6,309.4,1642,30.3,80,0,0,0,0,0,0,49752.6,9.799999999999955,2424.0
2,299.6,309.4,1283,62.1,83,0,0,0,0,0,0,79674.3,9.799999999999955,5154.3
1,299.7,309.5,1375,46.8,86,0,0,0,0,0,0,64349.99999999999,9.800000000000011,4024.7999999999997
3,299.7,309.4,1399,39.9,91,0,0,0,0,0,0,55820.1,9.699999999999989,3630.9
3,299.7,309.4,1650,29.8,93,0,0,0,0,0,0,49170.0,9.699999999999989,2771.4
2,299.8,309.6,1346,53.2,95,0,0,0,0,0,0,71607.2,9.800000000000011,5054.0
1,299.9,309.6,1410,51.2,98,0,0,0,0,0,0,72192.0,9.700000000000045,5017.6
3,300.0,309.7,1586,37.8,103,0,0,0,0,0,0,59950.799999999996,9.699999999999989,3893.3999999999996
3,300.0,309.8,1372,39.6,105,0,0,0,0,0,0,54331.200000000004,9.800000000000011,4158.0
1,300.0,309.7,1529,42.4,107,0,0,0,0,0,0,64829.6,9.699999999999989,4536.8
2,300.0,309.7,1652,28.6,112,0,0,0,0,0,0,47247.200000000004,9.699999999999989,3203.2000000000003
3,300.1,309.8,1532,39.8,115,0,0,0,0,0,0,60973.6,9.699999999999989,4577.0
3,300.0,309.7,1554,32.0,117,0,0,0,0,0,0,49728.0,9.699999999999989,3744.0
1,299.9,309.6,1462,51.0,119,0,0,0,0,0,0,74562.0,9.700000000000045,6069.0
3,299.9,309.6,1254,61.3,124,0,0,0,0,0,0,76870.2,9.700000000000045,7601.2
3,299.9,309.6,1294,49.7,126,0,0,0,0,0,0,64311.8,9.700000000000045,6262.200000000001
3,299.8,309.5,1739,27.5,128,0,0,0,0,0,0,47822.5,9.699999999999989,3520.0
2,299.8,309.4,1412,47.8,130,0,0,0,0,0,0,67493.59999999999,9.599999999999966,6214.0
2,299.9,309.5,1372,56.2,133,0,0,0,0,0,0,77106.40000000001,9.600000000000023,7474.6
1,299.8,309.5,1420,46.7,136,0,0,0,0,0,0,66314.0,9.699999999999989,6351.200000000001
3,299.8,309.5,1542,40.3,141,0,0,0,0,0,0,62142.6,9.699999999999989,5682.299999999999
2,299.8,309.4,1401,48.1,143,0,0,0,0,0,0,67388.1,9.599999999999966,6878.3
3,299.8,309.4,1510,42.5,146,0,0,0,0,0,0,64175.0,9.599999999999966,6205.0
1,299.9,309.5,1547,38.5,148,0,0,0,0,0,0,59559.5,9.600000000000023,5698.0
2,299.8,309.5,1453,43.2,153,0,0,0,0,0,0,62769.600000000006,9.699999999999989,6609.6
3,299.8,309.4,1408,45.6,156,0,0,0,0,0,0,64204.8,9.599999999999966,7113.6
3,299.8,309.4,1436,51.6,158,0,0,0,0,0,0,74097.6,9.599999999999966,8152.8
2,299.9,309.5,1582,38.2,160,0,0,0,0,0,0,60432.4,9.600000000000023,6112.0
3,299.9,309.6,1280,59.3,163,0,0,0,0,0,0,75904.0,9.700000000000045,9665.9
3,299.9,309.5,2008,20.4,165,0,0,0,0,0,0,40963.2,9.600000000000023,3365.9999999999995
3,299.9,309.5,1772,23.5,167,0,0,0,0,0,0,41642.0,9.600000000000023,3924.5
3,299.9,309.5,1779,26.1,169,0,0,0,0,0,0,46431.9,9.600000000000023,4410.900000000001
3,299.9,309.5,1567,35.5,171,0,0,0,0,0,0,55628.5,9.600000000000023,6070.5
2,299.8,309.4,1751,27.0,173,0,0,0,0,0,0,47277.0,9.599999999999966,4671.0
3,299.9,309.5,1349,51.3,176,0,0,0,0,0,0,69203.7,9.600000000000023,9028.8
2,300.0,309.5,1425,40.8,178,0,0,0,0,0,0,58139.99999999999,9.5,7262.4
3,300.0,309.4,1395,44.5,181,0,0,0,0,0,0,62077.5,9.399999999999977,8054.5
1,299.8,309.3,1595,32.1,183,0,0,0,0,0,0,51199.5,9.5,5874.3
3,299.8,309.3,1291,56.4,188,0,0,0,0,0,0,72812.4,9.5,10603.199999999999
2,299.9,309.4,1509,42.8,190,0,0,0,0,0,0,64585.2,9.5,8131.999999999999
2,299.9,309.4,1483,38.1,193,0,0,0,0,0,0,56502.3,9.5,7353.3
3,299.9,309.3,1620,31.1,196,0,0,0,0,0,0,50382.0,9.400000000000034,6095.6
2,299.9,309.4,1487,42.2,198,0,0,0,0,0,0,62751.4,9.5,8355.6
3,299.8,309.4,2256,15.9,201,0,0,0,0,0,0,35870.4,9.599999999999966,3195.9
1,299.7,309.2,1691,27.7,203,0,0,0,0,0,0,46840.7,9.5,5623.099999999999
2,299.8,309.3,1663,35.2,208,0,0,0,0,0,0,58537.600000000006,9.5,7321.6
2,299.8,309.3,1640,31.1,211,0,0,0,0,0,0,51004.0,9.5,6562.1
1,299.7,309.3,1494,37.8,214,0,0,0,0,0,0,56473.2,9.600000000000023,8089.2
3,299.8,309.4,1467,46.2,219,0,0,0,0,0,0,67775.40000000001,9.599999999999966,10117.800000000001
2,299.7,309.3,1399,41.9,221,1,1,0,0,0,0,58618.1,9.600000000000023,9259.9
3,299.7,309.3,1445,42.6,0,0,0,0,0,0,0,61557.0,9.600000000000023,0.0
3,299.8,309.4,1480,40.9,2,0,0,0,0,0,0,60532.0,9.599999999999966,81.8
3,299.7,309.3,1546,37.2,4,0,0,0,0,0,0,57511.200000000004,9.600000000000023,148.8
3,299.7,309.3,1574,35.8,6,0,0,0,0,0,0,56349.2,9.600000000000023,214.79999999999998
3,299.7,309.3,1592,34.2,8,0,0,0,0,0,0,54446.4,9.600000000000023,273.6
3,299.8,309.5,1495,39.6,10,0,0,0,0,0,0,59202.0,9.699999999999989,396.0
3,299.8,309.6,1447,43.1,12,0,0,0,0,0,0,62365.700000000004,9.800000000000011,517.2
3,299.8,309.5,1476,44.4,14,0,0,0,0,0,0,65534.4,9.699999999999989,621.6
3,299.8,309.5,1641,27.1,16,0,0,0,0,0,0,44471.100000000006,9.699999999999989,433.6
3,299.8,309.5,1545,32.2,18,0,0,0,0,0,0,49749.00000000001,9.699999999999989,579.6
2,299.9,309.6,1364,44.4,20,0,0,0,0,0,0,60561.6,9.700000000000045,888.0
3,299.8,309.5,1590,28.5,23,0,0,0,0,0,0,45315.0,9.699999999999989,655.5
3,299.8,309.4,1460,37.4,25,0,0,0,0,0,0,54604.0,9.599999999999966,935.0
3,299.8,309.4,1609,32.5,27,0,0,0,0,0,0,52292.5,9.599999999999966,877.5
3,299.8,309.4,1633,27.5,29,0,0,0,0,0,0,44907.5,9.599999999999966,797.5
3,299.9,309.4,1348,52.8,31,0,0,0,0,0,0,71174.4,9.5,1636.8
3,299.9,309.4,1322,53.9,33,0,0,0,0,0,0,71255.8,9.5,1778.7
3,300.0,309.5,1641,30.1,35,0,0,0,0,0,0,49394.100000000006,9.5,1053.5
3,300.0,309.5,1728,26.0,37,0,0,0,0,0,0,44928.0,9.5,962.0
3,300.0,309.6,1431,47.7,39,0,0,0,0,0,0,68258.7,9.600000000000023,1860.3000000000002
3,300.1,309.7,1641,30.4,41,0,0,0,0,0,0,49886.399999999994,9.599999999999966,1246.3999999999999
2,300.1,309.6,1622,36.1,43,0,0,0,0,0,0,58554.200000000004,9.5,1552.3
2,300.1,309.6,1625,38.0,46,0,0,0,0,0,0,61750.0,9.5,1748.0
3,300.0,309.5,1869,22.7,49,0,0,0,0,0,0,42426.299999999996,9.5,1112.3
3,300.0,309.6,1452,46.0,51,0,0,0,0,0,0,66792.0,9.600000000000023,2346.0
3,300.0,309.6,1618,28.7,53,0,0,0,0,0,0,46436.6,9.600000000000023,1521.1
3,300.0,309.4,2010,20.0,55,0,0,0,0,0,0,40200.0,9.399999999999977,1100.0
3,299.9,309.4,1363,60.9,57,0,0,0,0,0,0,83006.7,9.5,3471.2999999999997
3,299.9,309.3,1473,40.4,59,0,0,0,0,0,0,59509.2,9.400000000000034,2383.6
3,299.9,309.2,1333,50.8,61,0,0,0,0,0,0,67716.4,9.300000000000011,3098.7999999999997
3,299.8,309.2,1760,25.9,63,0,0,0,0,0,0,45584.0,9.399999999999977,1631.6999999999998
2,299.8,309.2,1372,58.2,65,0,0,0,0,0,0,79850.40000000001,9.399999999999977,3783.0
2,299.7,309.2,1608,34.4,68,0,0,0,0,0,0,55315.2,9.5,2339.2
3,299.7,309.2,1326,64.8,71,0,0,0,0,0,0,85924.8,9.5,4600.8
2,299.6,309.1,1560,37.1,73,0,0,0,0,0,0,57876.0,9.5,2708.3
2,299.6,309.0,1539,36.1,76,0,0,0,0,0,0,55557.9,9.399999999999977,2743.6
3,299.6,309.1,2266,15.3,79,0,0,0,0,0,0,34669.8,9.5,1208.7
3,299.6,309.1,1641,35.8,81,0,0,0,0,0,0,58747.799999999996,9.5,2899.7999999999997
3,299.6,309.1,1574,39.2,83,0,0,0,0,0,0,61700.8,9.5,3253.6000000000004
3,299.6,309.1,1407,50.6,85,0,0,0,0,0,0,71194.2,9.5,4301.0
1,299.7,309.2,1302,55.5,87,0,0,0,0,0,0,72261.0,9.5,4828.5
2,299.6,309.2,1651,30.8,92,0,0,0,0,0,0,50850.8,9.599999999999966,2833.6
2,299.6,309.1,1366,55.2,95,0,0,0,0,0,0,75403.2,9.5,5244.0
2,299.5,309.0,1701,28.6,98,0,0,0,0,0,0,48648.600000000006,9.5,2802.8
3,299.5,309.0,1498,44.6,101,0,0,0,0,0,0,66810.8,9.5,4504.6
2,299.5,309.1,1422,45.3,103,0,0,0,0,0,0,64416.6,9.600000000000023,4665.9
3,299.5,309.1,1357,47.3,106,0,0,0,0,0,0,64186.1,9.600000000000023,5013.799999999999
3,299.5,309.2,1690,29.2,108,0,0,0,0,0,0,49348.0,9.699999999999989,3153.6
3,299.6,309.2,1559,39.1,110,0,0,0,0,0,0,60956.9,9.599999999999966,4301.0
2,299.6,309.3,1553,32.4,112,0,0,0,0,0,0,50317.2,9.699999999999989,3628.7999999999997
3,299.6,309.3,1558,34.8,115,0,0,0,0,0,0,54218.399999999994,9.699999999999989,4001.9999999999995
3,299.7,309.4,1362,51.9,117,0,0,0,0,0,0,70687.8,9.699999999999989,6072.3
2,299.8,309.3,1470,42.7,119,0,0,0,0,0,0,62769.00000000001,9.5,5081.3
3,299.8,309.4,1555,34.8,122,0,0,0,0,0,0,54113.99999999999,9.599999999999966,4245.599999999999
